graph_type,size,delta,optimal_delta,delta_time,parallel_v1_time,parallel_v2_time,v1_speedup,v2_speedup
random,1000,1,2,2.136691,16.391375,54.210458,0.130355,0.039415
random,1000,4,2,1.557208,7.430208,21.785392,0.209578,0.071479
random,1000,6,2,1.178875,8.177817,16.040341,0.144155,0.073494
random,1000,10,2,1.067842,4.672934,13.129183,0.228516,0.081333
random,1000,15,2,1.021416,3.703166,10.222208,0.275822,0.099921
random,1000,20,2,0.980725,3.693733,9.336100,0.265510,0.105047
random,1000,30,2,0.908592,3.655217,6.628667,0.248574,0.137070
random,1000,50,2,0.837242,2.900950,5.487100,0.288609,0.152584
random,5000,1,2,6.215392,29.818492,119.999133,0.208441,0.051795
random,5000,4,2,4.230859,15.571516,45.656609,0.271705,0.092667
random,5000,6,2,3.980283,12.773642,35.924300,0.311601,0.110796
random,5000,10,2,3.729342,10.775333,25.784008,0.346100,0.144638
random,5000,15,2,3.617567,9.024767,19.816950,0.400849,0.182549
random,5000,20,2,3.399342,7.857817,17.037600,0.432606,0.199520
random,5000,30,2,3.409550,7.711967,13.791583,0.442112,0.247220
random,5000,50,2,3.340583,7.265842,11.735075,0.459766,0.284667
random,10000,1,2,9.541558,36.724583,164.782425,0.259814,0.057904
random,10000,4,2,7.315792,20.556767,60.388475,0.355882,0.121145
random,10000,6,2,6.995908,16.706175,45.742533,0.418762,0.152941
random,10000,10,2,6.595492,15.143000,34.762000,0.435547,0.189733
random,10000,15,2,6.571817,13.171334,27.062966,0.498948,0.242834
random,10000,20,2,6.392758,12.892150,23.667108,0.495864,0.270112
random,10000,30,2,6.394866,12.540208,19.297442,0.509949,0.331384
random,10000,50,2,6.342300,11.844392,16.087567,0.535469,0.394236
grid,961,1,4,3.620708,19.586008,55.653883,0.184862,0.065058
grid,961,4,4,2.421742,13.955450,35.885600,0.173534,0.067485
grid,961,6,4,2.189908,12.224158,29.671025,0.179146,0.073806
grid,961,10,4,1.931433,10.998808,23.792575,0.175604,0.081178
grid,961,15,4,1.785450,9.658108,20.420108,0.184865,0.087436
grid,961,20,4,1.694967,9.174700,18.154825,0.184744,0.093362
grid,961,30,4,1.665408,9.146416,16.535950,0.182083,0.100714
grid,961,50,4,1.472733,6.953967,12.850683,0.211783,0.114603
grid,4900,1,4,13.810408,79.280975,237.899675,0.174196,0.058051
grid,4900,4,4,8.979550,46.901600,111.433175,0.191455,0.080582
grid,4900,6,4,8.192342,37.989491,92.256292,0.215648,0.088800
grid,4900,10,4,7.527925,35.749609,75.318333,0.210574,0.099948
grid,4900,15,4,7.078800,28.495833,58.501992,0.248415,0.121001
grid,4900,20,4,6.752317,26.754058,59.259358,0.252385,0.113945
grid,4900,30,4,6.570633,24.074850,46.225025,0.272925,0.142145
grid,4900,50,4,6.309867,19.325033,38.124775,0.326513,0.165506
grid,10000,1,4,23.481767,130.983342,398.510609,0.179273,0.058924
grid,10000,4,4,15.925242,76.127383,182.178308,0.209192,0.087416
grid,10000,6,4,14.772333,59.713217,140.853033,0.247388,0.104878
grid,10000,10,4,13.725125,50.378983,109.461683,0.272438,0.125387
grid,10000,15,4,12.896200,44.232750,91.112992,0.291553,0.141541
grid,10000,20,4,12.522275,41.025658,86.437359,0.305230,0.144871
grid,10000,30,4,12.421775,42.166858,71.961767,0.294586,0.172616
grid,10000,50,4,12.062433,31.488733,57.967800,0.383071,0.208089
scale_free,1000,1,6,2.920700,7.534984,34.447441,0.387619,0.084787
scale_free,1000,4,6,2.174500,5.604458,14.709708,0.387995,0.147828
scale_free,1000,6,6,1.921592,3.983325,12.110175,0.482409,0.158676
scale_free,1000,10,6,1.903350,3.035000,7.690700,0.627133,0.247487
scale_free,1000,15,6,1.790333,3.282883,6.256917,0.545354,0.286137
scale_free,1000,20,6,1.684483,2.966133,5.739383,0.567905,0.293495
scale_free,1000,30,6,1.722467,2.956983,4.572192,0.582508,0.376727
scale_free,1000,50,6,1.607533,2.762158,4.052542,0.581985,0.396673
scale_free,5000,1,6,9.701159,16.170383,72.572250,0.599934,0.133676
scale_free,5000,4,6,8.440950,10.552075,27.693033,0.799933,0.304804
scale_free,5000,6,6,8.224625,10.479200,22.159983,0.784852,0.371148
scale_free,5000,10,6,8.213433,9.714633,16.041991,0.845470,0.511996
scale_free,5000,15,6,7.954600,10.304967,13.095908,0.771919,0.607411
scale_free,5000,20,6,7.938450,10.615517,11.710358,0.747816,0.677900
scale_free,5000,30,6,7.750400,11.168850,9.933400,0.693930,0.780236
scale_free,5000,50,6,8.266325,15.087567,9.113050,0.547890,0.907087
scale_free,10000,1,6,17.424625,24.143908,113.397125,0.721699,0.153660
scale_free,10000,4,6,16.105434,18.233850,41.872542,0.883271,0.384630
scale_free,10000,6,6,15.877700,24.116100,34.660742,0.658386,0.458089
scale_free,10000,10,6,15.701025,20.611092,24.907017,0.761776,0.630386
scale_free,10000,15,6,15.309950,22.984150,20.495608,0.666109,0.746987
scale_free,10000,20,6,15.586608,24.476891,18.375433,0.636789,0.848231
scale_free,10000,30,6,16.169800,31.756583,16.442966,0.509179,0.983387
scale_free,10000,50,6,17.906116,44.025858,15.233342,0.406718,1.175456
