graph_type,size,edges,dijkstra_time,delta_time,parallel_v1_time,parallel_v2_time,seq_speedup,par_v1_speedup,par_v2_speedup
random,5000,15000,3.043741,4.343842,8.545725,11.484908,0.700703,0.508306,0.378222
random,15000,45000,9.659950,12.307850,25.687642,20.747758,0.784861,0.479135,0.593213
random,30000,90000,20.284850,24.638350,73.933975,33.550667,0.823304,0.333248,0.734362
random,50000,150000,35.732883,40.216950,164.440400,49.831600,0.888503,0.244569,0.807057
grid,4900,9660,2.605933,6.280667,20.448908,36.860833,0.414913,0.307139,0.170389
grid,14884,29524,8.329725,17.527708,46.783108,82.057942,0.475232,0.374659,0.213602
grid,29929,59512,17.166866,34.176617,75.507042,123.614375,0.502299,0.452628,0.276478
grid,49729,99012,29.242025,56.158367,117.243608,175.583508,0.520706,0.478989,0.319839
scale_free,5000,29982,4.233533,8.476691,15.403525,9.143325,0.499432,0.550309,0.927091
scale_free,15000,89982,13.941017,24.802150,91.494417,20.330350,0.562089,0.271078,1.219957
scale_free,30000,179982,28.186992,51.390558,324.799083,36.952433,0.548486,0.158223,1.390722
scale_free,50000,299982,48.501692,93.396358,1018.374691,60.839200,0.519310,0.091711,1.535135
small_world,5000,39084,4.593917,12.434475,29.685550,11.321342,0.369450,0.418873,1.098322
small_world,15000,117172,14.370008,35.359658,237.081050,24.003908,0.406396,0.149146,1.473079
small_world,30000,234024,29.634225,75.196475,820.868050,50.187958,0.394091,0.091606,1.498297
small_world,50000,390514,51.256083,115.697925,2439.297175,78.814833,0.443016,0.047431,1.467971
