graph_type,size,delta,optimal_delta,delta_time,parallel_v1_time,parallel_v2_time,v1_speedup,v2_speedup
random,1000,1,25,2.574608,17.007600,7.978842,0.151380,0.322679
random,1000,4,25,1.351483,7.357308,8.951217,0.183693,0.150983
random,1000,6,25,1.203966,6.181058,7.811375,0.194783,0.154130
random,1000,10,25,1.085183,5.343542,7.728966,0.203083,0.140405
random,1000,15,25,0.995308,4.022400,7.568117,0.247441,0.131513
random,1000,20,25,0.964358,4.132342,9.004933,0.233368,0.107092
random,1000,30,25,0.911317,3.528508,9.856250,0.258272,0.092461
random,1000,50,25,0.847608,5.700608,15.923891,0.148687,0.053229
random,5000,1,25,7.116317,41.331975,28.671942,0.172175,0.248198
random,5000,4,25,4.666308,18.325275,16.744075,0.254638,0.278684
random,5000,6,25,4.019767,13.056766,16.208575,0.307868,0.248002
random,5000,10,25,3.666250,11.014558,18.268783,0.332855,0.200684
random,5000,15,25,3.527492,9.266892,17.017950,0.380655,0.207281
random,5000,20,25,3.505708,8.604033,16.573283,0.407449,0.211528
random,5000,30,25,3.391908,7.767600,16.215359,0.436674,0.209179
random,5000,50,25,3.454900,7.746783,16.965458,0.445979,0.203643
random,10000,1,25,9.406300,37.040917,21.676800,0.253943,0.433934
random,10000,4,25,7.390467,20.721891,21.747600,0.356650,0.339829
random,10000,6,25,7.371500,22.795409,28.096659,0.323377,0.262362
random,10000,10,25,7.395658,18.718217,26.123750,0.395105,0.283101
random,10000,15,25,7.060642,14.529908,34.118150,0.485938,0.206947
random,10000,20,25,6.894792,15.024467,22.728225,0.458904,0.303358
random,10000,30,25,6.998208,34.847084,67.121300,0.200826,0.104262
random,10000,50,25,6.492458,11.622759,25.713883,0.558599,0.252488
grid,961,1,12,3.796525,21.406917,21.760317,0.177350,0.174470
grid,961,4,12,2.558992,16.756409,21.739066,0.152717,0.117714
grid,961,6,12,2.227783,31.146809,50.102608,0.071525,0.044464
grid,961,10,12,2.426483,16.871017,24.990117,0.143826,0.097098
grid,961,15,12,1.780067,10.018608,21.372650,0.177676,0.083287
grid,961,20,12,1.690342,9.213633,24.096425,0.183461,0.070149
grid,961,30,12,1.645792,8.723842,22.971000,0.188654,0.071647
grid,961,50,12,1.451983,7.495292,22.712934,0.193719,0.063928
grid,4900,1,12,13.589391,78.376233,63.788008,0.173387,0.213040
grid,4900,4,12,8.961958,42.759658,63.101392,0.209589,0.142025
grid,4900,6,12,8.216700,37.332109,63.074717,0.220097,0.130269
grid,4900,10,12,7.500542,32.005766,67.857625,0.234350,0.110534
grid,4900,15,12,7.441208,33.337900,94.503417,0.223206,0.078740
grid,4900,20,12,6.992933,25.933467,63.873100,0.269649,0.109482
grid,4900,30,12,6.513525,24.562891,69.821792,0.265177,0.093288
grid,4900,50,12,6.354225,20.420583,63.011200,0.311168,0.100843
grid,10000,1,12,23.626550,132.465792,104.214125,0.178360,0.226712
grid,10000,4,12,16.235917,70.072925,102.301325,0.231700,0.158707
grid,10000,6,12,15.005092,61.036450,104.309633,0.245838,0.143851
grid,10000,10,12,14.144433,50.407392,140.377200,0.280602,0.100760
grid,10000,15,12,13.493808,47.371933,218.050733,0.284848,0.061884
grid,10000,20,12,15.229225,83.954317,161.112033,0.181399,0.094526
grid,10000,30,12,12.993883,48.028150,168.693333,0.270547,0.077027
grid,10000,50,12,16.106925,78.317758,198.161075,0.205661,0.081282
scale_free,1000,1,25,4.165050,14.138667,11.789341,0.294586,0.353289
scale_free,1000,4,25,3.048017,9.885775,6.898875,0.308324,0.441814
scale_free,1000,6,25,2.723342,6.486416,7.151025,0.419853,0.380832
scale_free,1000,10,25,2.041408,7.970725,9.082283,0.256113,0.224768
scale_free,1000,15,25,1.864442,4.133675,9.018342,0.451037,0.206739
scale_free,1000,20,25,1.988500,3.878991,9.387725,0.512633,0.211819
scale_free,1000,30,25,2.218292,6.327291,7.060242,0.350591,0.314195
scale_free,1000,50,25,2.336050,5.613083,10.320592,0.416179,0.226348
scale_free,5000,1,25,14.808583,25.861742,16.686358,0.572606,0.887466
scale_free,5000,4,25,9.863517,15.103467,18.561083,0.653063,0.531408
scale_free,5000,6,25,10.843708,14.116775,16.107483,0.768143,0.673209
scale_free,5000,10,25,9.451775,10.103358,14.434100,0.935508,0.654823
scale_free,5000,15,25,8.250792,10.758858,11.261758,0.766884,0.732638
scale_free,5000,20,25,7.802958,10.056458,12.697242,0.775915,0.614540
scale_free,5000,30,25,8.510158,13.650825,11.457933,0.623417,0.742731
scale_free,5000,50,25,9.523492,13.908458,12.048025,0.684727,0.790461
scale_free,10000,1,25,21.464250,29.367242,19.901392,0.730891,1.078530
scale_free,10000,4,25,17.655500,25.403433,20.513417,0.695004,0.860681
scale_free,10000,6,25,16.308675,20.140084,21.358900,0.809762,0.763554
scale_free,10000,10,25,19.729883,21.319392,19.220767,0.925443,1.026488
scale_free,10000,15,25,16.989225,22.263483,47.428558,0.763098,0.358207
scale_free,10000,20,25,19.454542,27.262567,18.374300,0.713599,1.058791
scale_free,10000,30,25,16.320150,30.552883,19.209242,0.534161,0.849599
scale_free,10000,50,25,19.371100,47.205650,20.943458,0.410356,0.924924
