graph_type,size,edges,dijkstra_time,delta_time,parallel_v1_time,parallel_v2_time,seq_speedup,par_v1_speedup,par_v2_speedup
random,5000,15000,3.127050,4.324467,8.482292,15.620675,0.723106,0.509823,0.276842
random,15000,45000,9.644700,12.287475,25.616675,27.734283,0.784921,0.479667,0.443043
random,30000,90000,20.684142,24.718809,72.253292,43.656609,0.836777,0.342113,0.566210
random,50000,150000,35.475092,42.541134,165.664683,61.326075,0.833901,0.256791,0.693688
grid,4900,9660,2.626092,6.718433,20.075792,63.619392,0.390879,0.334653,0.105604
grid,14884,29524,8.195742,17.415642,42.912475,141.088808,0.470597,0.405841,0.123437
grid,29929,59512,17.653241,34.811425,73.707867,207.777958,0.507111,0.472289,0.167541
grid,49729,99012,29.386367,55.909800,115.592725,287.490392,0.525603,0.483679,0.194475
scale_free,5000,29982,4.482275,9.454916,14.428633,11.768375,0.474068,0.655288,0.803417
scale_free,15000,89982,13.536433,25.866208,85.585975,23.647500,0.523325,0.302225,1.093824
scale_free,30000,179982,28.334300,77.940250,364.915050,43.563150,0.363539,0.213585,1.789133
scale_free,50000,299982,49.537675,88.683192,864.102859,68.489283,0.558591,0.102630,1.294848
small_world,5000,39006,4.640875,13.656875,29.494158,14.457208,0.339820,0.463037,0.944641
small_world,15000,117264,15.027708,41.035150,228.686808,28.517617,0.366216,0.179438,1.438940
small_world,30000,233858,29.679633,76.984850,938.614484,51.915175,0.385526,0.082020,1.482897
small_world,50000,389970,54.540542,122.674333,2500.119500,83.736783,0.444596,0.049067,1.464999
