graph_type,size,threads,delta_time,parallel_v1_time,parallel_v2_time,v1_speedup,v2_speedup
scale_free_large,25000,1,215.900850,1392.826767,83.189192,0.155009,2.595299
scale_free_large,25000,2,215.900850,1466.968442,72.896875,0.147175,2.961730
scale_free_large,25000,4,215.900850,1409.297142,64.376667,0.153198,3.353713
scale_free_large,25000,8,215.900850,1404.330075,62.205625,0.153739,3.470761
dense_random,15000,1,68.118000,245.128483,34.014083,0.277887,2.002641
dense_random,15000,2,68.118000,251.893409,31.591425,0.270424,2.156218
dense_random,15000,4,68.118000,265.153050,28.936466,0.256901,2.354054
dense_random,15000,8,68.118000,283.694350,29.017634,0.240111,2.347469
grid_massive,40000,1,46.235225,37.204317,60.008392,1.242738,0.770479
grid_massive,40000,2,46.235225,52.239125,76.979483,0.885069,0.600617
grid_massive,40000,4,46.235225,74.178992,105.910667,0.623293,0.436549
grid_massive,40000,8,46.235225,94.365817,145.750941,0.489957,0.317221
exponential_weights,20000,1,25.614892,22.090858,20.707792,1.159525,1.236969
exponential_weights,20000,2,25.614892,46.727358,21.021500,0.548178,1.218509
exponential_weights,20000,4,25.614892,50.770283,21.726300,0.504525,1.178981
exponential_weights,20000,8,25.614892,42.308466,23.731300,0.605432,1.079372
