distribution,size,edges,dijkstra_time,delta_time,parallel_v1_time,parallel_v2_time,seq_speedup,par_v1_speedup,par_v2_speedup
uniform,200,600,0.102542,0.585900,0.294933,0.556358,0.175016,1.986550,1.053098
uniform,500,1500,0.279875,1.097167,5.710617,1.061159,0.255089,0.192128,1.033933
uniform,1000,3000,0.598091,1.688267,6.262617,4.819783,0.354264,0.269578,0.350279
uniform,1500,4500,0.935092,2.326400,7.071433,5.423617,0.401948,0.328986,0.428939
uniform,2000,6000,1.253850,2.921967,8.635617,4.634083,0.429112,0.338362,0.630538
uniform,3000,9000,1.936075,3.955592,10.285017,6.647642,0.489453,0.384597,0.595037
exponential,200,600,0.079341,0.248667,0.168741,0.247317,0.319067,1.473655,1.005458
exponential,500,1500,0.204125,0.577425,1.978325,0.645400,0.353509,0.291876,0.894677
exponential,1000,3000,0.432900,1.037850,2.663783,0.480108,0.417112,0.389615,2.161699
exponential,1500,4500,0.646867,1.469475,2.668975,0.578709,0.440203,0.550577,2.539231
exponential,2000,6000,0.877242,1.963291,4.027042,0.667733,0.446822,0.487527,2.940232
exponential,3000,9000,1.353366,2.677825,4.815775,0.782175,0.505398,0.556053,3.423563
normal,200,600,0.089133,0.561075,0.295292,0.396309,0.158862,1.900072,1.415753
normal,500,1500,0.252809,0.989392,4.476617,0.929042,0.255519,0.221013,1.064959
normal,1000,3000,0.523717,1.563583,6.103825,2.627108,0.334947,0.256165,0.595173
normal,1500,4500,0.799550,2.069550,6.920908,3.120725,0.386340,0.299029,0.663163
normal,2000,6000,1.068717,2.482475,7.222167,3.366416,0.430505,0.343730,0.737424
normal,3000,9000,1.714158,3.397233,10.292442,4.080500,0.504575,0.330071,0.832553
bimodal,200,600,0.114825,0.663783,0.321733,0.629742,0.172986,2.063147,1.054056
bimodal,500,1500,0.321550,1.172359,4.192358,1.095317,0.274276,0.279642,1.070338
bimodal,1000,3000,0.650475,1.840283,6.169709,6.935208,0.353465,0.298277,0.265354
bimodal,1500,4500,0.998792,2.496850,7.158758,8.413417,0.400021,0.348783,0.296770
bimodal,2000,6000,1.374166,3.223142,8.580400,9.872883,0.426344,0.375640,0.326464
bimodal,3000,9000,2.172083,4.137042,9.212867,10.950875,0.525033,0.449050,0.377782
